id,lesson,level,question,A,B,C,D,answer,explanation,source
MED-024,M4,กลางค่อนยาก,คำแนะนำใดถูกต้องสำหรับ oral iron ตาม source-course?,ควรระวังการรับประทานพร้อมชา กาแฟ นม แคลเซียม หรือยาลดกรด,ต้องรับประทานพร้อม antacid เพื่อเพิ่มการดูดซึม,อุจจาระดำหมายถึงเลือดออกเสมอ,ไม่มี interaction กับ quinolone,A,อาหาร/ยาบางชนิดลด iron absorption และ source-course ระบุให้แยกจาก quinolone,Medication management 2026 pp.53–74
MED-025,M5,กลางค่อนยาก,เหตุใด phosphate binder ต้องสัมพันธ์กับมื้ออาหาร?,เพื่อให้จับ phosphate ในทางเดินอาหารขณะมีอาหาร,เพื่อเพิ่ม renal excretion,เพื่อกระตุ้น ESA,เพื่อเพิ่ม sodium excretion,A,Phosphate binders ทำงานใน GI tract จึงต้องอยู่ในช่วงที่ phosphate จากอาหารอยู่ในลำไส้,Medication management 2026 pp.75–102
MED-026,M5,กลางค่อนยาก,อาการไม่พึงประสงค์สำคัญของ calcium-based phosphate binder คือข้อใด?,Hypercalcemia,Severe hypoglycemia เป็นหลัก,Neutropenia เป็นหลัก,Hypernatremia เสมอ,A,Calcium salts เพิ่ม calcium load และเสี่ยง hypercalcemia/vascular calcification,Medication management 2026 pp.75–102
MED-027,M5,กลางค่อนยาก,พิษจาก aluminum salts ที่จำง่ายเป็น “3B” คือข้อใด?,"Blood, Brain, Bone","Bowel, Bladder, Bronchus","BP, BUN, BMI","Brain, Bile, Bicarbonate",A,"Source สรุป aluminum toxicity เป็น Blood-anemia, Brain-cognitive disturbance, Bone-osteomalacia",Medication management 2026 pp.75–102
MED-028,M5,กลางค่อนยาก,ข้อใดเป็นคุณสมบัติเด่นของ sevelamer?,ไม่มีส่วนประกอบของ calcium และ aluminum,เป็น ESA,เป็น ACE inhibitor,เป็น potassium supplement,A,Sevelamer เป็น non-calcium/non-aluminum phosphate binder,Medication management 2026 pp.75–102
MED-029,M5,กลางค่อนยาก,Calcitriol ต้องเฝ้าระวังภาวะใด?,Calcium และ phosphorus สูง,Sodium ต่ำจากกลไกโดยตรงเสมอ,Severe neutropenia เป็นหลัก,Hypoglycemia ทุกคน,A,Vitamin D sterols ลด PTH แต่สามารถเพิ่ม Ca/P,Medication management 2026 pp.75–102
MED-030,M5,กลางค่อนยาก,Cinacalcet ลด PTH ผ่านกลไกใด?,เพิ่มความไวของ calcium-sensing receptor,ยับยั้ง ACE,จับ phosphate ในลำไส้โดยตรง,กระตุ้น erythropoietin receptor,A,Cinacalcet เป็น calcimimetic และ adverse effect สำคัญคือ hypocalcemia,Medication management 2026 pp.75–102
MED-031,M6,กลางค่อนยาก,การให้ sodium bicarbonate ใน CKD ต้องติดตามอะไรเป็นพิเศษ?,Volume status เพราะมี sodium load,TSH เท่านั้น,Platelet เท่านั้น,Bilirubin เท่านั้น,A,Sodium bicarbonate เพิ่ม sodium load จึงอาจกระทบ fluid balance/BP,Medication management 2026 pp.103–107
MED-032,M6,กลางค่อนยาก,ผลข้างเคียงจาก sodium bicarbonate ที่ source ระบุคือข้อใด?,Metabolic alkalosis และ GI distress,Severe hypocalcemia เสมอ,Agranulocytosis เป็นหลัก,Hemolysis,A,Source ระบุ metabolic alkalosis และ gastrointestinal distress,Medication management 2026 pp.103–107
MED-033,M6,กลางค่อนยาก,ข้อใดเป็นเหตุผลสำคัญที่ hyperkalemia ต้องได้รับการประเมินเร่งด่วน?,เสี่ยง cardiac arrhythmia,ทำให้ phosphate ต่ำเสมอ,ทำให้ Hb สูง,ทำให้ ferritin สูง,A,K สูงอาจทำให้หัวใจเต้นผิดจังหวะและเสียชีวิตได้,Medication management 2026 pp.103–107
MED-034,M6,กลางค่อนยาก,คำแนะนำ source-course สำหรับผงยาจับ potassium บางชนิดคือข้อใด?,ไม่ผสมกับน้ำผลไม้ตามคำแนะนำในสไลด์,ผสมกับน้ำผลไม้ทุกชนิดเพื่อเพิ่มประสิทธิภาพ,ให้พร้อม calcium supplement เสมอ,ใช้แทน dialysis ในทุกกรณี,A,สไลด์หลักสูตรระบุข้อควรระวังเรื่องการผสมกับน้ำผลไม้สำหรับผลิตภัณฑ์ที่กล่าวถึง,Medication management 2026 pp.103–107
MED-035,M6,กลางค่อนยาก,ผู้ป่วย CKD ได้ sodium bicarbonate แล้วบวมและน้ำหนักขึ้น สิ่งใดควรคิดก่อน?,Sodium load อาจทำให้ volume overload มากขึ้น,ยาทำให้ขาดน้ำแน่นอน,ไม่มีความเกี่ยวข้องกับยา,เป็น iron deficiency โดยตรง,A,Sodium content ของ bicarbonate ทำให้ต้อง monitor fluid balance อย่างระมัดระวัง,Medication management 2026 pp.103–107
MED-036,M6,กลางค่อนยาก,ข้อใดแยกเป้าหมายของ sodium bicarbonate กับ phosphate binder ได้ถูกต้อง?,Bicarbonate แก้ acidosis; binder ลด phosphate absorption,ทั้งสองใช้ลด PTH โดยตรง,ทั้งสองใช้รักษา anemia,ทั้งสองใช้เพิ่ม potassium,A,สองกลุ่มมี therapeutic target ต่างกันชัดเจน,Medication management 2026 pp.103–107
MED-037,M7,กลางค่อนยาก,การตัดสินใจให้หรืองดยาความดันก่อน HD ควรพิจารณาอะไร?,"BP pattern, indication และ dialyzability",ชื่อยาวหรือสั้น,สีของเม็ดยา,อายุยาบนฉลากเพียงอย่างเดียว,A,Timing รอบ HD ต้อง individualized ตาม hemodynamics และคุณสมบัติยา,"Medication management 2026 pp.108–120,133"
MED-038,M7,กลางค่อนยาก,ยากลุ่มใดใน source มีตัวอย่างหลายตัวที่ถูกขจัดด้วย HD?,ACE inhibitors บางชนิด เช่น captopril/enalapril/lisinopril,ARB ทุกชนิด,Calcium channel blocker ทุกชนิด,Alpha-1 blocker ทุกชนิด,A,Source ระบุ ACEi บางชนิดเป็น dialyzable ขณะที่ ARBs และ CCBs หลายตัวไม่ถูกขจัด,"Medication management 2026 pp.108–120,133"
MED-039,M7,กลางค่อนยาก,การใช้ beta-blocker ร่วมกับ nondihydropyridine calcium channel blocker เพิ่มความเสี่ยงอะไร?,Bradycardia/heart block,Hypernatremia,Hyperphosphatemia,Polycythemia,A,ทั้งสองลด AV nodal conduction จึงเพิ่ม bradycardia และ heart block,"Medication management 2026 pp.108–120,133"
MED-040,M7,กลางค่อนยาก,การใช้ potassium-sparing diuretic ร่วมกับ ACEi/ARB เพิ่มความเสี่ยงอะไร?,Hyperkalemia,Hypokalemia เสมอ,Iron overload,Hypercalcemia เสมอ,A,ทั้งสองสามารถเพิ่ม potassium จึงต้องเฝ้าระวัง hyperkalemia,"Medication management 2026 pp.108–120,133"
MED-041,M7,กลางค่อนยาก,ประโยชน์ของ home BP record ในผู้ป่วย dialysis คือข้อใด?,ช่วยเชื่อม BP pattern กับเวลาใช้ยาและอาการ,ใช้แทน lab ทุกชนิด,ทำให้ไม่ต้องตรวจ BP ที่หน่วยฟอก,ใช้วินิจฉัย infection,A,Source แนะนำ home BP และการบันทึกลืมยา/ADR เพื่อประเมิน regimen,"Medication management 2026 pp.108–120,133"
MED-042,M7,กลางค่อนยาก,Midodrine ใน source-course ใช้ในบริบทใด?,Intradialytic hypotension ในผู้ป่วยที่เหมาะสม,รักษา hyperphosphatemia,รักษา anemia,รักษา metabolic acidosis,A,Midodrine เป็น alpha-adrenergic agonist ที่ source กล่าวถึงสำหรับ IDH พร้อม contraindications/ADR,"Medication management 2026 pp.108–120,133"
MED-043,M8,กลางค่อนยาก,ปัจจัยใดทำให้ยาถูกขจัดโดย dialysis ได้น้อยลงโดยทั่วไป?,Protein binding สูง,Hydrosolubility สูง,Molecular size เล็ก,Free fraction สูง,A,ยาที่จับโปรตีนสูงมี free drug ให้ dialyzer ขจัดน้อยลง,Medication management 2026 pp.121–143
MED-044,M8,กลางค่อนยาก,ปัจจัยใดโดยทั่วไปทำให้ยามีแนวโน้มถูกขจัดด้วย dialysis มากขึ้น?,Vd ต่ำและอยู่ใน plasma มาก,Vd สูงมากและกระจายเข้า tissue มาก,Protein binding 99%,อยู่ใน intracellular compartment เกือบทั้งหมด,A,Vd ต่ำทำให้ยาคงอยู่ใน intravascular space มากขึ้น จึงเข้าถึง dialyzer ได้มากกว่า,Medication management 2026 pp.121–143
MED-045,M8,กลางค่อนยาก,High-flux dialyzer แตกต่างจาก low-flux อย่างไรในหลักการ?,มี pore size ใหญ่กว่าและขจัดโมเลกุลขนาดใหญ่ขึ้นได้มากกว่า,ไม่มี membrane,ใช้ได้เฉพาะ PD,ขจัดยาได้น้อยกว่าทุกชนิด,A,Source อธิบาย high-flux ว่ามี larger pore size และ mimic filtration ของไตมากขึ้น,Medication management 2026 pp.121–143
MED-046,M8,กลางค่อนยาก,ข้อใดเป็น RRT-related factor ที่มีผลต่อ drug removal?,Membrane characteristics และ treatment duration,สีของเครื่อง dialysis,วันเกิดผู้ป่วย,ชื่อโรงพยาบาล,A,"Modality, mechanism, membrane, dose, flow และ duration ล้วนเปลี่ยน extracorporeal clearance",Medication management 2026 pp.121–143
MED-047,M8,กลางค่อนยาก,หากยาถูกขจัดด้วย IHD มาก แนวคิดเรื่องเวลาให้ยาที่เหมาะสมคือข้อใด?,อาจจัดให้หลังฟอกหรือให้ supplemental dose ตาม reference,ต้องให้ก่อนฟอกเสมอ,ต้องหยุดยาถาวร,ไม่ต้องสนใจเวลาฟอก,A,Timing หลัง HD ลดการสูญเสีย dose ในยาที่ dialyzable แต่ regimen ต้องยึด specific dosing reference,Medication management 2026 pp.121–143
MED-048,M8,กลางค่อนยาก,SLED คืออะไรใน source?,Hybrid modality ที่ใช้เครื่อง dialysis แบบ conventional แต่ลด flow และยืดเวลา,ชื่อ phosphate binder,ชื่อ ESA,รูปแบบ PD catheter,A,SLED ผสมคุณลักษณะของ IHD และ CRRT ทำให้ drug clearance pattern ต่างจาก IHD ปกติ,Medication management 2026 pp.121–143
MED-049,M9,กลางค่อนยาก,Vancomycin dosing ในผู้ป่วย HD ควรพิจารณาอะไรเพิ่มเติมจาก renal function?,Dialyzer permeability และเวลาที่ให้ยาเทียบกับ HD,สี dialysate,จำนวนมื้ออาหาร,ระดับ phosphorus อย่างเดียว,A,Source แสดง regimen ที่ต่างตาม membrane permeability และ intradialytic/postdialysis administration,"Medication management 2026 pp.131,144–155"
MED-050,M9,กลางค่อนยาก,การให้ antimicrobial สำหรับ CAPD-related peritonitis สามารถใช้ route ใดตาม source?,Intraperitoneal,Intraosseous เท่านั้น,Topical ที่ผิวหนังเท่านั้น,Sublingual เท่านั้น,A,Source มี intraperitoneal antimicrobial regimens สำหรับ CAPD peritonitis,"Medication management 2026 pp.131,144–155"
MED-051,M9,กลางค่อนยาก,เหตุใด acyclovir จึงต้องระวังเป็นพิเศษใน renal failure?,ขับออกทางไตสูงและ half-life ยาวขึ้น,ถูก metabolize โดยปอดทั้งหมด,ไม่มีการขับทางไต,ไม่มี neurotoxicity,A,Acyclovir excretion ส่วนใหญ่ทางปัสสาวะและ half-life ยาวขึ้นอย่างมากใน renal failure,"Medication management 2026 pp.131,144–155"
MED-052,M9,กลางค่อนยาก,ผู้ป่วย CKD ได้ acyclovir แล้วเกิด confusion และ hallucination ควรคิดถึงอะไร?,Acyclovir neurotoxicity,Iron deficiency อย่างเดียว,Phosphate binder intolerance อย่างเดียว,Sodium bicarbonate deficiency,A,"Neurotoxicity ของ acyclovir ใน renal impairment อาจมี confusion, delirium, hallucination, agitation หรือ coma","Medication management 2026 pp.131,144–155"
MED-053,M9,กลางค่อนยาก,ตาม source-course hemodialysis มีผลต่อ acyclovir อย่างไร?,สามารถขจัดยาออกได้ส่วนหนึ่งอย่างมีนัยสำคัญ,ขจัดไม่ได้เลย,เพิ่มการสร้าง acyclovir,เปลี่ยนยาเป็น ESA,A,Source-case ระบุ HD ขจัด acyclovir ได้ประมาณ 40–60%; ใช้เป็นข้อมูลหลักสูตร ไม่ใช่คำสั่งรักษาเฉพาะราย,"Medication management 2026 pp.131,144–155"
MED-054,M9,กลางค่อนยาก,เมื่อผู้ป่วยเริ่ม antibiotic ที่ต้อง dose ตามไต สิ่งใดควรถูกบันทึกร่วมกัน?,"Renal function, RRT schedule และเวลา last dose",ชื่อห้องผู้ป่วยเท่านั้น,ระดับ HbA1c เท่านั้น,รอบเอวเท่านั้น,A,"การผูก dose กับ renal function, modality/schedule และ timing ลด medication error และช่วย TDM","Medication management 2026 pp.131,144–155"
MED-055,M10,กลางค่อนยาก,เป้าหมายหลักของ medication reconciliation คืออะไร?,สร้างรายการยาที่ถูกต้องและค้นหา duplication/interactions/omissions,เพิ่มจำนวนยาให้มากที่สุด,เปลี่ยนยาทุกตัวเป็นยาฉีด,หยุดยาทุกตัวที่ผู้ป่วยซื้อเองโดยไม่ประเมิน,A,Reconciliation ต้องรวบรวมยาทุกแหล่งและแก้ discrepancy อย่างมีเหตุผล,Medication management 2026 pp.146–178
MED-056,M10,กลางค่อนยาก,ยากลุ่มใดเป็นจุดเสี่ยง nephrotoxicity ที่ควรถามเรื่องการซื้อใช้เองใน CKD?,NSAIDs,Topical moisturizer,Normal saline mouth rinse,Artificial tears,A,Source-case เน้น NSAID self-medication เป็นปัญหาสำคัญใน CKD,Medication management 2026 pp.146–178
MED-057,M10,กลางค่อนยาก,ข้อใดเป็นตัวอย่าง therapeutic duplication?,ได้รับ glimepiride และ glipizide พร้อมกันโดยไม่มีเหตุผลชัดเจน,ได้รับยา 1 ตัวเช้า 1 ตัวเย็นต่างกลุ่ม,ได้รับ phosphate binder พร้อมอาหาร,ได้รับ ESA ตามแผน,A,Source-case ใช้ sulfonylurea สองตัวเป็นตัวอย่าง duplication of therapy,Medication management 2026 pp.146–178
MED-058,M10,กลางค่อนยาก,ช่วงใดเสี่ยง medication error มากและควรทำ reconciliation?,เมื่อย้ายโรงพยาบาลหรือเปลี่ยนแผนการรักษา,เมื่อผู้ป่วยอ่านหนังสือ,เมื่อชั่งน้ำหนักหลังฟอก,เฉพาะวันเกิด,A,Transitions of care และการเปลี่ยนยี่ห้อ/รูปแบบ/ความแรงเพิ่มโอกาสเกิด discrepancy,Medication management 2026 pp.146–178
MED-059,M10,กลางค่อนยาก,วิธีใดประเมินความเข้าใจการใช้ยาได้ดีกว่าถามว่า “เข้าใจไหม”?,ให้ผู้ป่วยหรือผู้ดูแลอธิบายวิธีใช้ยากลับ (teach-back),ถามคำถาม yes/no เท่านั้น,ให้เอกสารโดยไม่อธิบาย,ไม่ต้องตรวจความเข้าใจ,A,Teach-back ตรวจว่าผู้ป่วยสามารถนำคำแนะนำไปใช้จริง,Medication management 2026 pp.146–178
MED-060,M10,กลางค่อนยาก,ผู้ป่วย CKD มี bradycardia หลังเปลี่ยนเป็น atenolol ขั้นตอนที่เหมาะสมที่สุดคือข้อใด?,ทบทวนยาใหม่ทั้งหมด ประเมิน renal function/dose และความสัมพันธ์กับอาการ,เพิ่ม atenolol ทันที,ไม่ต้องดู renal function,สรุปว่าเป็น CKD โดยไม่ review ยา,A,Source-case แสดงความสำคัญของ medication history + renal function + dose appropriateness เมื่อเกิด adverse event,Medication management 2026 pp.146–178
