ID,Unit,Lesson,Concept,Question,A,B,C,D,Answer,Explanation,Source
Q011,U1,4,Self-Reinforcement,การปฏิบัติใดสอดคล้องกับ “Self-Reinforcement” มากที่สุด?,ฝึกให้ผู้ป่วยเลือกทางแก้ปัญหาจริงและรู้ว่าจะขอความช่วยเหลือจากใครเมื่อจำเป็น,ประเมินความพร้อม ให้คำแนะนำเฉพาะบุคคล ตั้ง SMART goal ร่วมกัน ช่วยแก้อุปสรรค และนัดติดตาม,ประเมินทั้งการรักษา บทบาทชีวิต/งาน/ครอบครัว และผลกระทบทางอารมณ์ ไม่เน้นเฉพาะยาและอาหาร,ช่วยผู้ป่วยกำหนดวิธีให้กำลังใจตนเองและปรับแผนเมื่อยังไม่บรรลุเป้าหมาย,D,หลักสำคัญ: การเสริมแรงตนเองคือการให้รางวัลหรือกำลังใจตนเองเมื่อทำตามเป้าหมาย เพื่อคงแรงจูงใจภายใน การปฏิบัติที่สอดคล้อง: ช่วยผู้ป่วยกำหนดวิธีให้กำลังใจตนเองและปรับแผนเมื่อยังไม่บรรลุเป้าหมาย เป้าหมาย: เพิ่มความยั่งยืนของพฤติกรรมที่เหมาะสม,Self-Management CKD p.6
Q012,U1,4,Self-Reinforcement,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Self-Reinforcement” โดยตรงที่สุด?,ผู้ป่วยตัดสินใจและลงมือดูแลตนเองได้ดีขึ้น,แผนดูแลครอบคลุมชีวิตจริงและคุณภาพชีวิตของผู้ป่วย,เพิ่มโอกาสที่เป้าหมายจะนำไปปฏิบัติจริงและติดตามต่อเนื่อง,เพิ่มความยั่งยืนของพฤติกรรมที่เหมาะสม,D,หลักสำคัญ: การเสริมแรงตนเองคือการให้รางวัลหรือกำลังใจตนเองเมื่อทำตามเป้าหมาย เพื่อคงแรงจูงใจภายใน การปฏิบัติที่สอดคล้อง: ช่วยผู้ป่วยกำหนดวิธีให้กำลังใจตนเองและปรับแผนเมื่อยังไม่บรรลุเป้าหมาย เป้าหมาย: เพิ่มความยั่งยืนของพฤติกรรมที่เหมาะสม,Self-Management CKD p.6
Q013,U1,5,Core Self-Management Skills,ข้อใดอธิบาย “Core Self-Management Skills” ได้ถูกต้องที่สุด?,"การจัดการตนเองครอบคลุม Medical management, Role management และ Emotional management",Teach-back ตรวจความเข้าใจโดยให้ผู้ป่วยอธิบายหรือสาธิตกลับด้วยคำของตนเอง ไม่ใช่ถามเพียงว่าเข้าใจหรือไม่,"5A คือ Assess, Advise, Agree, Assist และ Arrange ใช้เป็นวงจรสนับสนุนการเปลี่ยนพฤติกรรม",ทักษะสำคัญประกอบด้วยการแก้ปัญหา การตัดสินใจ การใช้ทรัพยากร การร่วมมือกับทีมสุขภาพ การลงมือปฏิบัติ และ self-efficacy,D,หลักสำคัญ: ทักษะสำคัญประกอบด้วยการแก้ปัญหา การตัดสินใจ การใช้ทรัพยากร การร่วมมือกับทีมสุขภาพ การลงมือปฏิบัติ และ self-efficacy การปฏิบัติที่สอดคล้อง: ฝึกให้ผู้ป่วยเลือกทางแก้ปัญหาจริงและรู้ว่าจะขอความช่วยเหลือจากใครเมื่อจำเป็น เป้าหมาย: ผู้ป่วยตัดสินใจและลงมือดูแลตนเองได้ดีขึ้น,Self-Management CKD p.7
Q014,U1,5,Core Self-Management Skills,การปฏิบัติใดสอดคล้องกับ “Core Self-Management Skills” มากที่สุด?,ฝึกให้ผู้ป่วยเลือกทางแก้ปัญหาจริงและรู้ว่าจะขอความช่วยเหลือจากใครเมื่อจำเป็น,ประเมินความพร้อม ให้คำแนะนำเฉพาะบุคคล ตั้ง SMART goal ร่วมกัน ช่วยแก้อุปสรรค และนัดติดตาม,ประเมินทั้งการรักษา บทบาทชีวิต/งาน/ครอบครัว และผลกระทบทางอารมณ์ ไม่เน้นเฉพาะยาและอาหาร,หลังให้ข้อมูล ให้ผู้ป่วยเล่ากลับว่าต้องทำอะไร และอธิบายใหม่หากยังไม่ครบ,A,หลักสำคัญ: ทักษะสำคัญประกอบด้วยการแก้ปัญหา การตัดสินใจ การใช้ทรัพยากร การร่วมมือกับทีมสุขภาพ การลงมือปฏิบัติ และ self-efficacy การปฏิบัติที่สอดคล้อง: ฝึกให้ผู้ป่วยเลือกทางแก้ปัญหาจริงและรู้ว่าจะขอความช่วยเหลือจากใครเมื่อจำเป็น เป้าหมาย: ผู้ป่วยตัดสินใจและลงมือดูแลตนเองได้ดีขึ้น,Self-Management CKD p.7
Q015,U1,5,Core Self-Management Skills,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Core Self-Management Skills” โดยตรงที่สุด?,ผู้ป่วยตัดสินใจและลงมือดูแลตนเองได้ดีขึ้น,เพิ่มโอกาสที่เป้าหมายจะนำไปปฏิบัติจริงและติดตามต่อเนื่อง,ลดความคลาดเคลื่อนจากการสื่อสารและเพิ่มความเข้าใจที่นำไปใช้ได้,แผนดูแลครอบคลุมชีวิตจริงและคุณภาพชีวิตของผู้ป่วย,A,หลักสำคัญ: ทักษะสำคัญประกอบด้วยการแก้ปัญหา การตัดสินใจ การใช้ทรัพยากร การร่วมมือกับทีมสุขภาพ การลงมือปฏิบัติ และ self-efficacy การปฏิบัติที่สอดคล้อง: ฝึกให้ผู้ป่วยเลือกทางแก้ปัญหาจริงและรู้ว่าจะขอความช่วยเหลือจากใครเมื่อจำเป็น เป้าหมาย: ผู้ป่วยตัดสินใจและลงมือดูแลตนเองได้ดีขึ้น,Self-Management CKD p.7
Q016,U1,6,สามงานหลักของการจัดการตนเอง,ข้อใดอธิบาย “สามงานหลักของการจัดการตนเอง” ได้ถูกต้องที่สุด?,"5A คือ Assess, Advise, Agree, Assist และ Arrange ใช้เป็นวงจรสนับสนุนการเปลี่ยนพฤติกรรม","การจัดการตนเองครอบคลุม Medical management, Role management และ Emotional management",Teach-back ตรวจความเข้าใจโดยให้ผู้ป่วยอธิบายหรือสาธิตกลับด้วยคำของตนเอง ไม่ใช่ถามเพียงว่าเข้าใจหรือไม่,ผู้ป่วยเป็นศูนย์กลางและจัดการอาการ การรักษา ผลกระทบทางกาย–จิตสังคม และการปรับวิถีชีวิตร่วมกับทีมสุขภาพ,B,"หลักสำคัญ: การจัดการตนเองครอบคลุม Medical management, Role management และ Emotional management การปฏิบัติที่สอดคล้อง: ประเมินทั้งการรักษา บทบาทชีวิต/งาน/ครอบครัว และผลกระทบทางอารมณ์ ไม่เน้นเฉพาะยาและอาหาร เป้าหมาย: แผนดูแลครอบคลุมชีวิตจริงและคุณภาพชีวิตของผู้ป่วย",Self-Management CKD pp.9–10
Q017,U1,6,สามงานหลักของการจัดการตนเอง,การปฏิบัติใดสอดคล้องกับ “สามงานหลักของการจัดการตนเอง” มากที่สุด?,หลังให้ข้อมูล ให้ผู้ป่วยเล่ากลับว่าต้องทำอะไร และอธิบายใหม่หากยังไม่ครบ,ประเมินสิ่งที่ผู้ป่วยทำได้จริง แล้วร่วมกำหนดเป้าหมายและแผนที่ผู้ป่วยมีส่วนตัดสินใจ,ประเมินความพร้อม ให้คำแนะนำเฉพาะบุคคล ตั้ง SMART goal ร่วมกัน ช่วยแก้อุปสรรค และนัดติดตาม,ประเมินทั้งการรักษา บทบาทชีวิต/งาน/ครอบครัว และผลกระทบทางอารมณ์ ไม่เน้นเฉพาะยาและอาหาร,D,"หลักสำคัญ: การจัดการตนเองครอบคลุม Medical management, Role management และ Emotional management การปฏิบัติที่สอดคล้อง: ประเมินทั้งการรักษา บทบาทชีวิต/งาน/ครอบครัว และผลกระทบทางอารมณ์ ไม่เน้นเฉพาะยาและอาหาร เป้าหมาย: แผนดูแลครอบคลุมชีวิตจริงและคุณภาพชีวิตของผู้ป่วย",Self-Management CKD pp.9–10
Q018,U1,6,สามงานหลักของการจัดการตนเอง,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “สามงานหลักของการจัดการตนเอง” โดยตรงที่สุด?,ลดความคลาดเคลื่อนจากการสื่อสารและเพิ่มความเข้าใจที่นำไปใช้ได้,แผนดูแลครอบคลุมชีวิตจริงและคุณภาพชีวิตของผู้ป่วย,เพิ่มโอกาสที่เป้าหมายจะนำไปปฏิบัติจริงและติดตามต่อเนื่อง,เพิ่มความสามารถในการดูแลตนเองและความต่อเนื่องของพฤติกรรมสุขภาพ,B,"หลักสำคัญ: การจัดการตนเองครอบคลุม Medical management, Role management และ Emotional management การปฏิบัติที่สอดคล้อง: ประเมินทั้งการรักษา บทบาทชีวิต/งาน/ครอบครัว และผลกระทบทางอารมณ์ ไม่เน้นเฉพาะยาและอาหาร เป้าหมาย: แผนดูแลครอบคลุมชีวิตจริงและคุณภาพชีวิตของผู้ป่วย",Self-Management CKD pp.9–10
Q019,U1,7,แนวทาง 5A,ข้อใดอธิบาย “แนวทาง 5A” ได้ถูกต้องที่สุด?,ผู้ป่วยเป็นศูนย์กลางและจัดการอาการ การรักษา ผลกระทบทางกาย–จิตสังคม และการปรับวิถีชีวิตร่วมกับทีมสุขภาพ,การติดตามตนเองคือการสังเกตและบันทึกพฤติกรรม อาการ หรือข้อมูลสุขภาพของตนเองอย่างเป็นระบบ,"5A คือ Assess, Advise, Agree, Assist และ Arrange ใช้เป็นวงจรสนับสนุนการเปลี่ยนพฤติกรรม",Teach-back ตรวจความเข้าใจโดยให้ผู้ป่วยอธิบายหรือสาธิตกลับด้วยคำของตนเอง ไม่ใช่ถามเพียงว่าเข้าใจหรือไม่,C,"หลักสำคัญ: 5A คือ Assess, Advise, Agree, Assist และ Arrange ใช้เป็นวงจรสนับสนุนการเปลี่ยนพฤติกรรม การปฏิบัติที่สอดคล้อง: ประเมินความพร้อม ให้คำแนะนำเฉพาะบุคคล ตั้ง SMART goal ร่วมกัน ช่วยแก้อุปสรรค และนัดติดตาม เป้าหมาย: เพิ่มโอกาสที่เป้าหมายจะนำไปปฏิบัติจริงและติดตามต่อเนื่อง",Self-Management CKD p.10
Q020,U1,7,แนวทาง 5A,การปฏิบัติใดสอดคล้องกับ “แนวทาง 5A” มากที่สุด?,ให้ผู้ป่วยติดตามข้อมูลที่มีความหมาย เช่น น้ำหนัก ความดัน อาการบวม หรือการรับประทานยา,หลังให้ข้อมูล ให้ผู้ป่วยเล่ากลับว่าต้องทำอะไร และอธิบายใหม่หากยังไม่ครบ,ประเมินความพร้อม ให้คำแนะนำเฉพาะบุคคล ตั้ง SMART goal ร่วมกัน ช่วยแก้อุปสรรค และนัดติดตาม,ประเมินสิ่งที่ผู้ป่วยทำได้จริง แล้วร่วมกำหนดเป้าหมายและแผนที่ผู้ป่วยมีส่วนตัดสินใจ,C,"หลักสำคัญ: 5A คือ Assess, Advise, Agree, Assist และ Arrange ใช้เป็นวงจรสนับสนุนการเปลี่ยนพฤติกรรม การปฏิบัติที่สอดคล้อง: ประเมินความพร้อม ให้คำแนะนำเฉพาะบุคคล ตั้ง SMART goal ร่วมกัน ช่วยแก้อุปสรรค และนัดติดตาม เป้าหมาย: เพิ่มโอกาสที่เป้าหมายจะนำไปปฏิบัติจริงและติดตามต่อเนื่อง",Self-Management CKD p.10
Q021,U1,7,แนวทาง 5A,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “แนวทาง 5A” โดยตรงที่สุด?,เพิ่มความสามารถในการดูแลตนเองและความต่อเนื่องของพฤติกรรมสุขภาพ,ลดความคลาดเคลื่อนจากการสื่อสารและเพิ่มความเข้าใจที่นำไปใช้ได้,ตรวจพบการเปลี่ยนแปลงและอุปสรรคได้เร็วขึ้น,เพิ่มโอกาสที่เป้าหมายจะนำไปปฏิบัติจริงและติดตามต่อเนื่อง,D,"หลักสำคัญ: 5A คือ Assess, Advise, Agree, Assist และ Arrange ใช้เป็นวงจรสนับสนุนการเปลี่ยนพฤติกรรม การปฏิบัติที่สอดคล้อง: ประเมินความพร้อม ให้คำแนะนำเฉพาะบุคคล ตั้ง SMART goal ร่วมกัน ช่วยแก้อุปสรรค และนัดติดตาม เป้าหมาย: เพิ่มโอกาสที่เป้าหมายจะนำไปปฏิบัติจริงและติดตามต่อเนื่อง",Self-Management CKD p.10
Q022,U1,8,Teach-back & Health Literacy,ข้อใดอธิบาย “Teach-back & Health Literacy” ได้ถูกต้องที่สุด?,การติดตามตนเองคือการสังเกตและบันทึกพฤติกรรม อาการ หรือข้อมูลสุขภาพของตนเองอย่างเป็นระบบ,การประเมินตนเองคือการนำข้อมูลที่ติดตามไว้มาเทียบกับเป้าหมายหรือมาตรฐานเพื่อดูว่าต้องปรับอะไร,Teach-back ตรวจความเข้าใจโดยให้ผู้ป่วยอธิบายหรือสาธิตกลับด้วยคำของตนเอง ไม่ใช่ถามเพียงว่าเข้าใจหรือไม่,ผู้ป่วยเป็นศูนย์กลางและจัดการอาการ การรักษา ผลกระทบทางกาย–จิตสังคม และการปรับวิถีชีวิตร่วมกับทีมสุขภาพ,C,หลักสำคัญ: Teach-back ตรวจความเข้าใจโดยให้ผู้ป่วยอธิบายหรือสาธิตกลับด้วยคำของตนเอง ไม่ใช่ถามเพียงว่าเข้าใจหรือไม่ การปฏิบัติที่สอดคล้อง: หลังให้ข้อมูล ให้ผู้ป่วยเล่ากลับว่าต้องทำอะไร และอธิบายใหม่หากยังไม่ครบ เป้าหมาย: ลดความคลาดเคลื่อนจากการสื่อสารและเพิ่มความเข้าใจที่นำไปใช้ได้,Self-Management CKD p.11
Q023,U1,8,Teach-back & Health Literacy,การปฏิบัติใดสอดคล้องกับ “Teach-back & Health Literacy” มากที่สุด?,ทบทวนข้อมูลร่วมกับผู้ป่วยและถามว่าผลที่เกิดขึ้นตรงเป้าหมายเพียงใด,ประเมินสิ่งที่ผู้ป่วยทำได้จริง แล้วร่วมกำหนดเป้าหมายและแผนที่ผู้ป่วยมีส่วนตัดสินใจ,หลังให้ข้อมูล ให้ผู้ป่วยเล่ากลับว่าต้องทำอะไร และอธิบายใหม่หากยังไม่ครบ,ให้ผู้ป่วยติดตามข้อมูลที่มีความหมาย เช่น น้ำหนัก ความดัน อาการบวม หรือการรับประทานยา,C,หลักสำคัญ: Teach-back ตรวจความเข้าใจโดยให้ผู้ป่วยอธิบายหรือสาธิตกลับด้วยคำของตนเอง ไม่ใช่ถามเพียงว่าเข้าใจหรือไม่ การปฏิบัติที่สอดคล้อง: หลังให้ข้อมูล ให้ผู้ป่วยเล่ากลับว่าต้องทำอะไร และอธิบายใหม่หากยังไม่ครบ เป้าหมาย: ลดความคลาดเคลื่อนจากการสื่อสารและเพิ่มความเข้าใจที่นำไปใช้ได้,Self-Management CKD p.11
Q024,U1,8,Teach-back & Health Literacy,ผลลัพธ์หรือเป้าหมายใดสัมพันธ์กับ “Teach-back & Health Literacy” โดยตรงที่สุด?,ผู้ป่วยเห็นช่องว่างระหว่างพฤติกรรมจริงกับเป้าหมาย,ตรวจพบการเปลี่ยนแปลงและอุปสรรคได้เร็วขึ้น,ลดความคลาดเคลื่อนจากการสื่อสารและเพิ่มความเข้าใจที่นำไปใช้ได้,เพิ่มความสามารถในการดูแลตนเองและความต่อเนื่องของพฤติกรรมสุขภาพ,C,หลักสำคัญ: Teach-back ตรวจความเข้าใจโดยให้ผู้ป่วยอธิบายหรือสาธิตกลับด้วยคำของตนเอง ไม่ใช่ถามเพียงว่าเข้าใจหรือไม่ การปฏิบัติที่สอดคล้อง: หลังให้ข้อมูล ให้ผู้ป่วยเล่ากลับว่าต้องทำอะไร และอธิบายใหม่หากยังไม่ครบ เป้าหมาย: ลดความคลาดเคลื่อนจากการสื่อสารและเพิ่มความเข้าใจที่นำไปใช้ได้,Self-Management CKD p.11
