Q001 B | ความหมายของ Self-Management
Q139 C | Timing of Initiation
Q140 D | Timing of Initiation
Q141 A | Timing of Initiation
Q142 C | Modality Selection
Q143 D | Modality Selection
Q144 D | Modality Selection
Q145 D | Personal Dimensions
Q146 A | Personal Dimensions
Q147 D | Personal Dimensions
Q148 B | Advance Care Planning
Q149 C | Advance Care Planning
Q150 A | Advance Care Planning
Q151 C | ESRD Care Pathway
Q152 C | ESRD Care Pathway
Q153 D | ESRD Care Pathway
Q154 A | Clinical Decision Tools
Q155 C | Clinical Decision Tools
Q156 D | Clinical Decision Tools
Q157 B | Psychosocial Assessment
Q158 C | Psychosocial Assessment
Q159 C | Psychosocial Assessment
Q160 C | Depression & Anxiety Screening
Q161 D | Depression & Anxiety Screening
Q162 A | Depression & Anxiety Screening
Q163 A | Symptom Management
Q164 B | Symptom Management
Q165 C | Symptom Management
Q166 B | RRT Nurse Competency
Q167 A | RRT Nurse Competency
Q168 A | RRT Nurse Competency
Q169 D | Quality Development 4 Approaches
Q170 D | Quality Development 4 Approaches
Q171 C | Quality Development 4 Approaches
Q172 D | Incident & Risk Learning
Q173 C | Incident & Risk Learning
Q174 C | Incident & Risk Learning
Q175 A | Integrated Outcome Domains
Q176 B | Integrated Outcome Domains
Q177 B | Integrated Outcome Domains
Q178 B | From Data to Action
Q179 D | From Data to Action
Q180 B | From Data to Action
